KO_name,KO_type,KO_equipment,KO_target,ZH_name,ZH_type,ZH_equipment,ZH_target,EN_name,EN_type,EN_equipment,EN_target
벽패스,협응력,공,유소년,墙壁传球,协调力,球,少年,Wall Pass,Coordination,Ball,Juvenile
십(十)자 드리블,협응력,라바콘/공,유소년,十字形运球,协调力,障碍锥/球,少年,Cross Dribbling,Coordination,Cones/Ball,Juvenile
공 양손으로 주고 받기,협응력,공,유소년,双手传球,协调力,球,少年,Passing Ball with Both Hands,Coordination,Ball,Juvenile
의자 잡고 반복 옆 뛰기,민첩성/순발력,맨몸/의자,유소년,抓住椅子侧向跳,敏捷性/反应速度,无/椅子,少年,Lateral Hops with Chair Support,Agility/Quickness,None/Chair,Juvenile
양 손 번갈아 공 튀기기,협응력,공,유소년,交替手弹球,协调力,球,少年,Alternating Hands Ball Bouncing,Coordination,Ball,Juvenile
라켓으로 공 치며 앞으로 가기,협응력,풍선/라켓,유소년,拍球前进,协调力,网球拍/气球,少年,Moving Forward While Hitting a Balloon with a Racket,Coordination,Racket/Balloon,Juvenile
공 위로 던지고 제자리 돌아 받기,협응력,공,유소년,投球转身接球,协调力,球,少年,Throw Ball Up and Turn to Catch,Coordination,Ball,Juvenile
무릎-허리 높이로 공 튀기기,협응력,공,유소년,膝盖至腰部高度弹球,协调力,球,少年,Bouncing Ball from Knee to Waist Height,Coordination,Ball,Juvenile
계이름 치기,협응력,맨몸,유소년,节奏操,协调力,无,少年,Rhythmic Clapping,Coordination,None,Juvenile
공 던져 색깔 맞추기,협응력,공,유소년,投球对色,协调力,球,少年,Throw Ball and Match Colors,Coordination,Ball,Juvenile
훌라후프로 공 끌고 가기,협응력,공/훌라후프,유소년,用呼啦圈推球前进,协调力,球/呼啦圈,少年,Moving Ball with Hula Hoop,Coordination,Ball/Hula Hoop,Juvenile
훌라후프하며 앞으로 가기,협응력,하프콘/훌라후프,유소년,前进时转呼啦圈,协调力,半锥/呼啦圈,少年,Moving Forward While Hula Hooping,Coordination,Half Cones/Hula Hoop,Juvenile
반복 옆뛰기,민첩성/순발력,맨몸/줄/하프콘,유소년,重复侧向跳,敏捷性/反应速度,无/绳子/半锥,少年,Repeated Lateral Hops,Agility/Quickness,None/Rope/Half Cones,Juvenile
2단 줄넘기,민첩성/순발력,맨몸/줄넘기,유소년,双层跳绳,敏捷性/反应速度,无/跳绳,少年,Double Dutch Jump Rope,Agility/Quickness,None/Jump Rope,Juvenile
십(十)자 달리기,민첩성/순발력,맨몸/하프콘,유소년,十字形跑步,敏捷性/反应速度,无/半锥,少年,Cross Running,Agility/Quickness,None/Half Cones,Juvenile
점프해서 발바닥 치기,민첩성/순발력,맨몸,유소년,跳起拍打脚掌,敏捷性/反应速度,无,少年,Jump and Slap Feet,Agility/Quickness,None,Juvenile
제자리 멀리 뛰기,민첩성/순발력,맨몸,유소년,原地远跳,敏捷性/反应速度,无,少年,Standing Long Jump,Agility/Quickness,None,Juvenile
연속 무릎 올리기,민첩성/순발력,맨몸/의자/줄/하프콘,유소년,连续抬膝,敏捷性/反应速度,无/椅子/绳/半锥,少年,Continuous Knee Raises,Agility/Quickness,None/Chair/Rope/Half Cones,Juvenile
대(大)자 점프 뛰기,민첩성/순발력,맨몸,유소년,大字形跳跃,敏捷性/反应速度,无,少年,Star Jumps,Agility/Quickness,None,Juvenile
S자 달리기,민첩성/순발력,맨몸/하프콘,유소년,S型跑步,敏捷性/反应速度,无/半锥,少年,S-Curve Running,Agility/Quickness,None/Half Cones,Juvenile
4방향 콘 찍고 달리기,민첩성/순발력,맨몸/하프콘,유소년,四方向接触锥跑步,敏捷性/反应速度,无/半锥,少年,Four-Direction Cone Touch Running,Agility/Quickness,None/Half Cones,Juvenile
콘 뛰어넘기,민첩성/순발력,맨몸/하프콘,유소년,跳过锥子,敏捷性/反应速度,无/半锥,少年,Cone Jumping,Agility/Quickness,None/Half Cones,Juvenile
점프해서 손 발끝 닿기,민첩성/순발력,맨몸,유소년,跳起触手足尖,敏捷性/反应速度,无,少年,Jump and Touch Toes,Agility/Quickness,None,Juvenile
점프하며 앞으로 나가기,민첩성/순발력,맨몸/하프콘,유소년,跳跃前进,敏捷性/反应速度,无/半锥,少年,Jump Forward,Agility/Quickness,None/Half Cones,Juvenile
누워서 굽힌 다리 펴기,유연성,맨몸/밴드/수건/써클링,유소년,躺卧弯腿伸展,柔韧性,无/弹力带/毛巾/圈带,少年,Lying Leg Extension,Flexibility,None/Band/Towel/Circle Band,Juvenile
잔발치기,민첩성/순발력,맨몸,유소년,脚尖踢击,敏捷性/反应速度,无,少年,Toe Taps,Agility/Quickness,None,Juvenile
벽잡고 빨리 뛰기,민첩성/순발력,맨몸,유소년,抓墙快跑,敏捷性/反应速度,无,少年,Wall-Assisted Quick Running,Agility/Quickness,None,Juvenile
한 발 뒤로 빼고 앞으로 굽히기,유연성,맨몸,유소년,后踵提前弯曲,柔韧性,无,少年,Back Heel Lift and Forward Bend,Flexibility,None,Juvenile
엎드려 상체 들어올리기,유연성,맨몸,유소년,俯卧撑起上半身,柔韧性,无,少年,Prone Upper Body Lift,Flexibility,None,Juvenile
다리 모아 뒤로 눕기,유연성,공/맨몸/써클휠,유소년,合腿仰卧,柔韧性,球/无/圆轮,少年,Lying Back with Legs Together,Flexibility,Ball/None/Circle Wheel,Juvenile
활 자세,유연성,맨몸/밴드/수건/써클링,유소년,弓形姿势,柔韧性,无/弹力带/毛巾/圈带,少年,Bow Pose,Flexibility,None/Band/Towel/Circle Band,Juvenile
엎드려 어깨 늘리기,유연성,공/맨몸/써클휠,유소년,俯卧伸展肩部,柔韧性,球/无/圆轮,少年,Prone Shoulder Stretch,Flexibility,Ball/None/Circle Wheel,Juvenile
엎드려 교차 발 잡아당기기,유연성,맨몸,유소년,俯卧交叉抓脚,柔韧性,无,少年,Prone Cross-Leg Pull,Flexibility,None,Juvenile
무릎 대고 옆으로 기울이기,유연성,막대/맨몸/밴드/써클링,유소년,跪姿侧身倾斜,柔韧性,棒/无/弹力带/圆环,少年,Kneeling Side Lean,Flexibility,Rod/None/Band/Circle Band,Juvenile
팔 빨리 흔들기,민첩성/순발력,맨몸,유소년,快速摆动手臂,敏捷性/反应速度,无,少年,Fast Arm Shaking,Agility/Quickness,None,Juvenile
50M 달리기,민첩성/순발력,맨몸,유소년,50米短跑,敏捷性/反应速度,无,少年,50-Meter Dash,Agility/Quickness,None,Juvenile
다리 벌려 옆으로 상체 숙이기,유연성,맨몸,유소년,张开双腿侧身弯腰,柔韧性,无,少年,Wide-Legged Side Bend,Flexibility,None,Juvenile
다리 벌려 앞으로 상체 숙이기,유연성,맨몸,유소년,张开双腿前倾,柔韧性,无,少年,Wide-Legged Forward Bend,Flexibility,None,Juvenile
발목 얹고 다리 잡아당기기,유연성,맨몸,유소년,抬脚拉伸,柔韧性,无,少年,Ankle-on-Knee Leg Pull,Flexibility,None,Juvenile
다리 모아 상체 숙이기,유연성,맨몸,유소년,合腿前倾,柔韧性,无,少年,Forward Bend with Legs Together,Flexibility,None,Juvenile
